#,Wine,Country,Region,Classification,Style,Grapes
1,Abadía Retuerta,Spain,Castilla y León,VP,Red,Tempranillo; Cabernet Sauvignon
2,Abona,Spain,Canary Islands,DO,White,Listán Blanco
3,Abrau-Dyurso,Russia,Krasnodar,Historic estate,Sparkling,Chardonnay; Pinot Noir
4,Abruzzo Pecorino,Italy,Abruzzo,DOC,White,Pecorino
5,Absheron,Azerbaijan,Absheron,Regional,Fortified,Bayanshira
6,Abymes,France,Savoie & Bugey,Cru,White,Jacquère
7,Achterhoek,Netherlands,Gelderland,PGI,White,Solaris
8,Aconcagua Valley,Chile,Aconcagua,DO,Red,Cabernet Sauvignon; Syrah
9,Adelaida District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon; Syrah
10,Adelaide,Australia,South Australia,GI,Red,Shiraz
11,Adelaide Hills,Australia,South Australia,GI,White,Sauvignon Blanc; Chardonnay
12,Adelaide Plains,Australia,South Australia,GI,Red,Shiraz
13,Adjara,Georgia,Adjara,Regional,Red,Chkhaveri
14,Aegean (Ege),Turkey,Aegean,Regional,White,Sultaniye; Bornova Misketi
15,Afames,Cyprus,Limassol,Regional,Red,Mavro
16,Aglianico del Taburno,Italy,Campania,DOCG,Red,Aglianico
17,Aglianico del Vulture,Italy,Basilicata,DOC,Red,Aglianico
18,Aglianico del Vulture Superiore,Italy,Basilicata,DOCG,Red,Aglianico
19,Agrelo,Argentina,Mendoza,GI,Red,Malbec; Cabernet Sauvignon
20,Aguascalientes,Mexico,Aguascalientes,Regional,Red,Cabernet Sauvignon
21,Ahal,Turkmenistan,Ahal,Regional,Fortified,Terbash; Rkatsiteli
22,Ahr,Germany,Ahr,Anbaugebiet,Red,Spätburgunder; Frühburgunder
23,Aigle,Switzerland,Vaud,AOC,White,Chasselas
24,Aïn Bessem-Bouira,Algeria,Aïn Témouchent,AOG,Red,Carignan; Cinsault
25,Aiud,Romania,Transylvania,DOC,White,Fetească Albă
26,Ajaccio,France,Corsica,AOC,Red,Sciaccarello
27,Akhasheni,Georgia,Kakheti,PDO,Sweet Red,Saperavi
28,Akluj,India,Maharashtra,Regional,Red,Cabernet Sauvignon; Shiraz
29,Alba Iulia,Romania,Transylvania,DOC,White,Fetească Albă
30,Albany,Australia,Western Australia,GI,Red,Pinot Noir; Shiraz
31,Albugnano,Italy,Piedmont,DOC,Red,Nebbiolo
32,Alcamo,Italy,Sicily,DOC,White,Catarratto
33,Aleatico di Gradoli,Italy,Lazio,DOC,Sweet Red,Aleatico
34,Aleatico di Puglia,Italy,Puglia,DOC,Sweet Red,Aleatico
35,Aleatico di Terracina,Italy,Lazio,DOC,Sweet Red,Aleatico
36,Alella,Spain,Catalonia,DO,White,Pansa Blanca
37,Alenquer,Portugal,Lisboa,DOC,Red,Castelão; Touriga Nacional
38,Alentejo,Portugal,Alentejo,DOC,Red,Aragonez; Trincadeira; Alicante Bouschet
39,Alentejo Branco,Portugal,Alentejo,DOC,White,Antão Vaz; Arinto; Roupeiro
40,Alexander Valley,United States,California (Sonoma),AVA,Red,Cabernet Sauvignon
41,Alexandra,New Zealand,Central Otago,GI,Red,Pinot Noir; Riesling
