#,Variety,Colour,Origin,Synonyms,Wines,Countries,Where grown,Note
1,Abouriou,Red,France (SW),,1,1,France,
2,Agiorgitiko,Red,Greece (Nemea),,6,1,Greece,
3,Aglianico,Red,Italy (Campania),,14,2,China; Italy,"Late-ripening and structured; the ""Barolo of the south""."
4,Agudelo,White,Spain (Galicia),,1,1,Spain,Galician name for Chenin Blanc.
5,Aidani,White,Greece (Santorini),,1,1,Greece,
6,Airén,White,Spain (La Mancha),,1,1,Spain,"Once the single most planted wine grape on earth, almost all of it in one country."
7,Alarije,White,Spain (Extremadura),,1,1,Spain,
8,Albana,White,Italy (Emilia-Romagna),,1,1,Italy,
9,Albarín Negro,Red,Spain (Asturias),,1,1,Spain,
10,Albariño,White,Spain (Galicia),Alvarinho,10,5,Japan; Portugal; Spain; United States; Uruguay,"The same grape as Portugal's Alvarinho, across the river."
11,Albarola,White,Italy (Liguria),,3,1,Italy,
12,Aleatico,Red,Italy,,5,1,Italy,
13,Aleksandrouli,Red,Georgia (Racha),,1,1,Georgia,
14,Alfrocheiro,Red,Portugal (Dão),,2,1,Portugal,
15,Alibernet,Red,Ukraine,,1,1,Slovakia,
16,Alicante Bouschet,Red,France,Garnacha Tintorera,3,3,Morocco; Portugal; Spain,"A teinturier: red flesh, not just red skin."
17,Aligoté,White,France (Burgundy),,4,2,France; Ukraine,
18,Alphonse Lavallée,Red,France,,1,1,Indonesia,A table grape vinified in Bali.
19,Altesse,White,France (Savoie),Roussette,5,1,France,
20,Amigne,White,Switzerland,,1,1,Switzerland,
21,Antão Vaz,White,Portugal (Alentejo),,2,1,Portugal,
22,Areni Noir,Red,Armenia,Areni,4,1,Armenia,"Grown beside the world's oldest known winery, dated to about 4100 BC."
23,Arinto,White,Portugal (Lisboa),Pedernã,6,1,Portugal,
24,Arinto dos Açores,White,Portugal (Azores),,1,1,Portugal,
25,Arneis,White,Italy (Piedmont),,2,1,Italy,
26,Asprinio,White,Italy (Campania),,1,1,Italy,
27,Assyrtiko,White,Greece (Santorini),,12,1,Greece,Holds searing acidity in volcanic heat.
28,Athiri,White,Greece,,4,1,Greece,
29,Auxerrois,White,France (Alsace),Auxerrois Blanc,4,3,France; Luxembourg; Netherlands,"A different grape from Malbec, confusingly also called Auxerrois in Cahors."
30,Avanà,Red,Italy (Piedmont),,1,1,Italy,
31,Avesso,White,Portugal (Minho),,4,1,Portugal,
32,Azal,White,Portugal (Minho),,2,1,Portugal,
33,Băbească Neagră,Red,Romania,,1,1,Romania,
34,Babić,Red,Croatia,,2,1,Croatia,
35,Bacchus,White,Germany,,6,2,Canada; United Kingdom,Silvaner x Riesling crossed with Müller-Thurgau; England's aromatic white.
36,Baga,Red,Portugal (Bairrada),,2,1,Portugal,
37,Baladi,White,Levant,,1,1,Palestine,
38,Bannati,White,Egypt,,1,1,Egypt,
39,Barbera,Red,Italy (Piedmont),,24,2,Italy; United States,
40,Baroque,White,France (SW),,1,1,France,
41,Bayanshira,White,Azerbaijan,Bayan Shirey,3,2,Azerbaijan; Uzbekistan,
42,Belgia,White,Indonesia,,1,1,Indonesia,
43,Biancame,White,Italy (Marche),,1,1,Italy,
44,Bianchetta,White,Italy (Veneto),Bianchetta Trevigiana,2,1,Italy,
45,Bianco d'Alessano,White,Italy (Puglia),,1,1,Italy,
46,Biancolella,White,Italy (Campania),,2,1,Italy,
47,Black Queen,Red,Japan,,1,1,Taiwan,
48,Blatina,Red,Bosnia and Herzegovina,,1,1,Bosnia and Herzegovina,Female-flowered; needs a pollinator variety.
49,Blauer Portugieser,Red,Austria,Modrý Portugal,1,1,Czechia,A separate variety from Blaufränkisch despite the shared vineyards.
50,Blauer Wildbacher,Red,Austria,,2,1,Austria,The Schilcher grape.
51,Blaufränkisch,Red,Austria,Lemberger; Kékfrankos; Frankovka; Modra Frankinja,18,6,Austria; Czechia; Germany; Hungary; Slovakia; Slovenia,
52,Boal,White,Portugal (Madeira),Bual,1,1,Portugal,
53,Bobal,Red,Spain (Valencia),,7,2,Egypt; Spain,
54,Boğazkere,Red,Turkey (Diyarbakır),,2,1,Turkey,Tannic enough that it is almost always blended with Öküzgözü.
55,Bogdanuša,White,Croatia (Hvar),,2,1,Croatia,
56,Bombino Bianco,White,Italy (Puglia),Pagadebit,2,1,Italy,
57,Bombino Nero,Red,Italy (Puglia),,1,1,Italy,
58,Bonarda Argentina,Red,France (Savoie),Douce Noire; Corbeau,2,1,Argentina,Argentina's second-most planted red; unrelated to Italy's Bonarda.
59,Bonarda Piemontese,Red,Italy (Piedmont),,1,1,Italy,"A third distinct grape called Bonarda, after Croatina and Argentina's."
60,Bordô,Red,United States,Ives,1,1,Brazil,Labrusca hybrid widely grown in Brazil.
61,Bornova Misketi,White,Turkey (Aegean),,1,1,Turkey,
62,Bosco,White,Italy (Liguria),,2,1,Italy,
63,Bovale,Red,Spain,,2,1,Italy,
64,Brachetto,Red,Italy (Piedmont),,1,1,Italy,
65,Braquet,Red,France (Provence),,1,1,France,
66,Busuioacă de Bohotin,Pink,Romania,,2,1,Romania,
67,Cabernet Franc,Red,France (Bordeaux),,69,9,Argentina; Brazil; Canada; China; France; Hungary; Italy; United States; Uruguay,"Parent of Cabernet Sauvignon, Merlot and Carmenère."
68,Cabernet Gernischt,Red,France,,1,1,China,Long grown in China; DNA suggests it is Carmenère.
69,Cabernet Pfeffer,Red,United States,,1,1,United States,A California curiosity of uncertain parentage.
70,Cabernet Sauvignon,Red,France (Bordeaux),,275,41,Argentina; Australia; Bhutan; Bolivia; Brazil; Bulgaria; Canada; Chile; China; Colombia; Ecuador; Ethiopia; France; Georgia; Greece; India; Israel; Italy; Jordan; Kazakhstan; Laos; Lebanon; Mexico; Moldova; Morocco; Nepal; New Zealand; Paraguay; Peru; Romania; Russia; Serbia; South Africa; Spain; Syria; Tunisia; Turkey; Ukraine; United States; Vietnam; Zimbabwe,A chance Cabernet Franc x Sauvignon Blanc crossing; now the most planted wine grape on earth.
71,Cadarcă,Red,Hungary,,1,1,Romania,
72,Cagnulari,Red,Italy (Sardinia),,1,1,Italy,
73,Çalkarası,Red,Turkey (Denizli),,1,1,Turkey,
74,Callet,Red,Spain (Mallorca),,2,1,Spain,
75,Campbell Early,Red,United States,,3,1,South Korea,Labrusca hybrid; the mainstay of Korean wine.
76,Cardinal,Red,United States,,3,1,Vietnam,A table grape used for wine in Southeast Asia.
77,Carignan,Red,Spain (Aragón),Cariñena; Mazuelo; Carignano; Samsó,39,9,Algeria; Chile; France; Israel; Italy; Lebanon; Morocco; Spain; Tunisia,
78,Carmenère,Red,France (Bordeaux),,9,1,Chile,Nearly lost in France; found in Chile in 1994 after decades misidentified as Merlot.
79,Carricante,White,Italy (Sicily),,1,1,Italy,
80,Casetta,Red,Italy (Trentino),,1,1,Italy,
81,Castelão,Red,Portugal,Periquita,9,1,Portugal,
82,Catarratto,White,Italy (Sicily),,6,1,Italy,
83,Catawba,Pink,United States,,2,1,United States,"Vitis labrusca hybrid, and America's first commercial wine grape."
84,Cerceal,White,Portugal,,1,1,Portugal,
85,Cesanese,Red,Italy (Lazio),,4,1,Italy,
86,César,Red,France (Burgundy),,1,1,France,
87,Chambourcin,Red,France,,15,2,Australia; United States,Hybrid.
88,Chardonnay,White,France (Burgundy),Morillon,199,31,Argentina; Australia; Austria; Belgium; Brazil; Bulgaria; Canada; Chile; China; Croatia; Egypt; France; Hungary; Israel; Italy; Japan; Lebanon; Malta; Mexico; Moldova; New Zealand; Portugal; Romania; Russia; Serbia; Slovenia; South Africa; Switzerland; Ukraine; United Kingdom; United States,Neutral enough to transmit site and winemaking rather than itself.
89,Chasselas,White,Switzerland,Fendant,19,2,France; Switzerland,
90,Chenin Blanc,White,France (Loire),Steen; Pineau de la Loire,44,10,Australia; Ethiopia; France; India; Mexico; Myanmar; South Africa; Tanzania; Thailand; United States,"Makes bone-dry, sparkling and botrytis sweet wine from the same vineyard."
91,Chinuri,White,Georgia (Kartli),,2,1,Georgia,
92,Chkhaveri,Pink,Georgia,,2,1,Georgia,
93,Ciliegiolo,Red,Italy (Tuscany),,1,1,Italy,A parent of Sangiovese.
94,Cinsault,Red,France (Languedoc),,23,6,Algeria; Chile; France; Lebanon; Morocco; Tunisia,A parent of Pinotage.
95,Cirfandli,White,Hungary (Pécs),,1,1,Hungary,
96,Clairette,White,France (Rhône),,5,1,France,
97,Colombard,White,France (SW),,8,3,France; Namibia; South Africa,
98,Concord,Red,United States,,1,1,United States,"Vitis labrusca; the flavour most Americans call ""grape""."
99,Cornalin,Red,Switzerland,,1,1,Switzerland,
100,Cortese,White,Italy (Piedmont),,2,1,Italy,
101,Corvina,Red,Italy (Veneto),Corvina Veronese,8,1,Italy,
102,Couderc,Red,France,,1,1,Madagascar,Hybrid.
