Country,Region,Wine,Classification,Style,Grapes
Albania,Berat & Korçë,Kallmet,Regional,Red,Kallmet
Albania,Shkodër,Shesh i Zi,Regional,Red,Shesh i Zi
Albania,Tirana,Shesh i Bardhë,Regional,White,Shesh i Bardhë
Algeria,Aïn Témouchent,Aïn Bessem-Bouira,AOG,Red,Carignan; Cinsault
Algeria,Aïn Témouchent,Coteaux de Mascara Ghriss,AOG,Red,Carignan
Algeria,Mascara,Coteaux de Mascara,AOG,Red,Carignan; Cinsault
Algeria,Médéa,Coteaux du Zaccar,AOG,Red,Carignan; Cinsault
Algeria,Tlemcen,Coteaux de Tlemcen,AOG,Red,Carignan; Grenache
Algeria,Tlemcen,Monts du Tessalah,AOG,Red,Carignan
Argentina,Catamarca,Catamarca,GI,White,Torrontés
Argentina,Jujuy,Quebrada de Humahuaca,GI,Red,Malbec
Argentina,La Rioja (Arg),Valle de Famatina,GI,White,Torrontés Riojano
Argentina,Mendoza,Agrelo,GI,Red,Malbec; Cabernet Sauvignon
Argentina,Mendoza,Barrancas,GI,Red,Bonarda Argentina
Argentina,Mendoza,Chacayes,GI,Red,Malbec
Argentina,Mendoza,El Cepillo,GI,Red,Malbec
Argentina,Mendoza,El Peral,GI,Red,Malbec
Argentina,Mendoza,Gualtallary,GI,Red,Malbec; Cabernet Franc
Argentina,Mendoza,La Consulta,GI,Red,Malbec
Argentina,Mendoza,Las Compuertas,GI,Red,Malbec
Argentina,Mendoza,Los Chacayes,GI,Red,Malbec; Cabernet Franc
Argentina,Mendoza,Luján de Cuyo,GI,Red,Malbec
Argentina,Mendoza,Lunlunta,GI,Red,Malbec
Argentina,Mendoza,Maipú,GI,Red,Malbec; Cabernet Sauvignon
Argentina,Mendoza,Mendoza,GI,Red,Malbec; Cabernet Sauvignon; Bonarda
Argentina,Mendoza,Paraje Altamira,GI,Red,Malbec
Argentina,Mendoza,Perdriel,GI,Red,Malbec
Argentina,Mendoza,Russell,GI,Red,Malbec
Argentina,Mendoza,San Carlos,GI,Red,Malbec; Semillón
Argentina,Mendoza,San Pablo,GI,Red,Pinot Noir; Chardonnay
Argentina,Mendoza,Santa Rosa,GI,Red,Bonarda; Malbec
Argentina,Mendoza,Tupungato,GI,White,Chardonnay; Malbec
Argentina,Mendoza,Ugarteche,GI,Red,Malbec
Argentina,Mendoza,Valle de Uco,GI,Red,Malbec; Cabernet Franc
Argentina,Mendoza,Villa Bastías,GI,Red,Malbec
Argentina,Mendoza,Vista Flores,GI,Red,Malbec
Argentina,National,Bonarda Argentina,Grape wine,Red,Bonarda Argentina
Argentina,National,Torrontés,Grape wine,White,Torrontés Riojano
Argentina,Patagonia,Chubut,GI,Red,Pinot Noir; Chardonnay
Argentina,Patagonia,General Roca,GI,Red,Malbec; Pinot Noir
Argentina,Patagonia,Neuquén,GI,Red,Malbec; Pinot Noir
Argentina,Patagonia,Río Negro,GI,Red,Pinot Noir; Malbec
Argentina,Patagonia,Sarmiento,GI,Red,Pinot Noir
Argentina,Salta,Cafayate,GI,White,Torrontés
Argentina,Salta,Colomé,GI,Red,Malbec
Argentina,Salta,Molinos,GI,Red,Malbec
Argentina,Salta,Payogasta,GI,Red,Malbec
Argentina,Salta,Valles Calchaquíes,GI,Red,Malbec; Tannat
Argentina,San Juan,Valle de Pedernal,GI,Red,Malbec; Cabernet Sauvignon
Argentina,San Juan,Valle de Tulum,GI,Red,Syrah; Bonarda
Argentina,San Juan,Valle de Zonda,GI,Red,Syrah; Malbec
Argentina,Tucumán,Amaicha del Valle,GI,White,Torrontés
Armenia,Aragatsotn,Aragatsotn,Regional,Red,Areni; Kakhet
Armenia,Ararat,Ararat Valley,Regional,Red,Areni Noir
Armenia,Armavir,Armavir,Regional,White,Voskehat
Armenia,Tavush,Ijevan,Regional,Red,Haghtanak
Armenia,Vayots Dzor,Areni,Regional,Red,Areni Noir
Armenia,Vayots Dzor,Yeghegnadzor,Regional,Red,Areni Noir
Australia,National,Australian Tawny,Fortified style,Fortified,Grenache; Shiraz
Australia,National,Sparkling Shiraz,Traditional style,Sparkling Red,Shiraz
Australia,New South Wales,Big Rivers,GI,Red,Shiraz
Australia,New South Wales,Broke Fordwich,GI,White,Semillon
Australia,New South Wales,Canberra District,GI,Red,Shiraz; Riesling
Australia,New South Wales,Central Ranges,GI,Red,Shiraz
Australia,New South Wales,Cowra,GI,White,Chardonnay
Australia,New South Wales,Gundagai,GI,Red,Shiraz
Australia,New South Wales,Hastings River,GI,Red,Chambourcin
Australia,New South Wales,Hilltops,GI,Red,Shiraz; Cabernet Sauvignon
Australia,New South Wales,Hunter Valley,GI,White,Semillon; Shiraz
Australia,New South Wales,Mudgee,GI,Red,Shiraz; Cabernet Sauvignon
Australia,New South Wales,Murray Darling,GI,Red,Shiraz; Chardonnay
