country|region|wine|tier|style|grapes
France|Bordeaux|Bordeaux Rouge|AOC|Red|Merlot; Cabernet Sauvignon; Cabernet Franc
France|Bordeaux|Bordeaux Blanc|AOC|White|Sauvignon Blanc; Sémillon; Muscadelle
France|Bordeaux|Bordeaux Supérieur|AOC|Red|Merlot; Cabernet Sauvignon
France|Bordeaux|Bordeaux Clairet|AOC|Rosé|Merlot; Cabernet Franc
France|Bordeaux|Bordeaux Rosé|AOC|Rosé|Merlot; Cabernet Sauvignon
France|Bordeaux|Crémant de Bordeaux|AOC|Sparkling|Sémillon; Cabernet Franc
France|Bordeaux (Left Bank)|Médoc|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Haut-Médoc|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Saint-Estèphe|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Pauillac|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Saint-Julien|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Margaux|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Listrac-Médoc|AOC|Red|Merlot; Cabernet Sauvignon
France|Bordeaux (Left Bank)|Moulis-en-Médoc|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Graves|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Graves Blanc|AOC|White|Sauvignon Blanc; Sémillon
France|Bordeaux (Left Bank)|Graves Supérieures|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Left Bank)|Pessac-Léognan|AOC|Red|Cabernet Sauvignon; Merlot
France|Bordeaux (Left Bank)|Pessac-Léognan Blanc|AOC|White|Sauvignon Blanc; Sémillon
France|Bordeaux (Left Bank)|Sauternes|AOC|Sweet White|Sémillon; Sauvignon Blanc; Muscadelle
France|Bordeaux (Left Bank)|Barsac|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Left Bank)|Cérons|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Right Bank)|Saint-Émilion|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Saint-Émilion Grand Cru|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Pomerol|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Lalande-de-Pomerol|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Fronsac|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Canon-Fronsac|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Montagne-Saint-Émilion|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Lussac-Saint-Émilion|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Puisseguin-Saint-Émilion|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Saint-Georges-Saint-Émilion|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Côtes de Bourg|AOC|Red|Merlot; Malbec
France|Bordeaux (Right Bank)|Blaye-Côtes de Bordeaux|AOC|Red|Merlot; Cabernet Sauvignon
France|Bordeaux (Right Bank)|Castillon-Côtes de Bordeaux|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Francs-Côtes de Bordeaux|AOC|Red|Merlot; Cabernet Franc
France|Bordeaux (Right Bank)|Cadillac-Côtes de Bordeaux|AOC|Red|Merlot; Cabernet Sauvignon
France|Bordeaux (Entre-Deux-Mers)|Entre-Deux-Mers|AOC|White|Sauvignon Blanc; Sémillon
France|Bordeaux (Entre-Deux-Mers)|Cadillac|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Entre-Deux-Mers)|Loupiac|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Entre-Deux-Mers)|Sainte-Croix-du-Mont|AOC|Sweet White|Sémillon; Sauvignon Blanc
France|Bordeaux (Entre-Deux-Mers)|Sainte-Foy-Côtes de Bordeaux|AOC|Red|Merlot; Cabernet Sauvignon
France|Bordeaux (Entre-Deux-Mers)|Graves de Vayres|AOC|Red|Merlot; Cabernet Franc
France|Burgundy (Chablis)|Petit Chablis|AOC|White|Chardonnay
France|Burgundy (Chablis)|Chablis|AOC|White|Chardonnay
France|Burgundy (Chablis)|Chablis Premier Cru|AOC Premier Cru|White|Chardonnay
France|Burgundy (Chablis)|Chablis Grand Cru|AOC Grand Cru|White|Chardonnay
France|Burgundy (Chablis)|Irancy|AOC|Red|Pinot Noir; César
France|Burgundy (Chablis)|Saint-Bris|AOC|White|Sauvignon Blanc
France|Burgundy (Côte de Nuits)|Marsannay|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Fixin|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Gevrey-Chambertin|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Chambertin-Clos de Bèze|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Charmes-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Mazis-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Griotte-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Latricières-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Ruchottes-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Chapelle-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Mazoyères-Chambertin|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Morey-Saint-Denis|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Clos de la Roche|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Clos Saint-Denis|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Clos de Tart|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Clos des Lambrays|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Bonnes-Mares|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Chambolle-Musigny|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Musigny|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Vougeot|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Clos de Vougeot|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Vosne-Romanée|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Romanée-Conti|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|La Tâche|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Richebourg|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Romanée-Saint-Vivant|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|La Romanée|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|La Grande Rue|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Échézeaux|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Grands Échézeaux|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Nuits-Saint-Georges|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Côte de Nuits-Villages|AOC|Red|Pinot Noir
France|Burgundy (Côte de Nuits)|Hautes-Côtes de Nuits|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Ladoix|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Aloxe-Corton|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Corton|AOC Grand Cru|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Corton-Charlemagne|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Pernand-Vergelesses|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Savigny-lès-Beaune|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Chorey-lès-Beaune|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Beaune|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Pommard|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Volnay|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Monthélie|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Auxey-Duresses|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Saint-Romain|AOC|White|Chardonnay
France|Burgundy (Côte de Beaune)|Meursault|AOC|White|Chardonnay
France|Burgundy (Côte de Beaune)|Puligny-Montrachet|AOC|White|Chardonnay
France|Burgundy (Côte de Beaune)|Chassagne-Montrachet|AOC|White|Chardonnay
France|Burgundy (Côte de Beaune)|Montrachet|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Chevalier-Montrachet|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Bâtard-Montrachet|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Bienvenues-Bâtard-Montrachet|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Criots-Bâtard-Montrachet|AOC Grand Cru|White|Chardonnay
France|Burgundy (Côte de Beaune)|Saint-Aubin|AOC|White|Chardonnay
France|Burgundy (Côte de Beaune)|Santenay|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Maranges|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Blagny|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Côte de Beaune-Villages|AOC|Red|Pinot Noir
France|Burgundy (Côte de Beaune)|Hautes-Côtes de Beaune|AOC|Red|Pinot Noir
France|Burgundy (Côte Chalonnaise)|Bouzeron|AOC|White|Aligoté
France|Burgundy (Côte Chalonnaise)|Rully|AOC|White|Chardonnay
France|Burgundy (Côte Chalonnaise)|Mercurey|AOC|Red|Pinot Noir
France|Burgundy (Côte Chalonnaise)|Givry|AOC|Red|Pinot Noir
France|Burgundy (Côte Chalonnaise)|Montagny|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Mâcon|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Mâcon-Villages|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Pouilly-Fuissé|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Pouilly-Loché|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Pouilly-Vinzelles|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Saint-Véran|AOC|White|Chardonnay
France|Burgundy (Mâconnais)|Viré-Clessé|AOC|White|Chardonnay
France|Burgundy|Bourgogne|AOC|Red|Pinot Noir
France|Burgundy|Bourgogne Blanc|AOC|White|Chardonnay
France|Burgundy|Bourgogne Aligoté|AOC|White|Aligoté
France|Burgundy|Bourgogne Passe-Tout-Grains|AOC|Red|Gamay; Pinot Noir
France|Burgundy|Coteaux Bourguignons|AOC|Red|Gamay; Pinot Noir
France|Burgundy|Crémant de Bourgogne|AOC|Sparkling|Chardonnay; Pinot Noir
France|Beaujolais|Beaujolais|AOC|Red|Gamay
France|Beaujolais|Beaujolais Nouveau|AOC|Red|Gamay
France|Beaujolais|Beaujolais-Villages|AOC|Red|Gamay
France|Beaujolais|Brouilly|AOC Cru|Red|Gamay
France|Beaujolais|Côte de Brouilly|AOC Cru|Red|Gamay
France|Beaujolais|Chénas|AOC Cru|Red|Gamay
France|Beaujolais|Chiroubles|AOC Cru|Red|Gamay
France|Beaujolais|Fleurie|AOC Cru|Red|Gamay
France|Beaujolais|Juliénas|AOC Cru|Red|Gamay
France|Beaujolais|Morgon|AOC Cru|Red|Gamay
France|Beaujolais|Moulin-à-Vent|AOC Cru|Red|Gamay
France|Beaujolais|Régnié|AOC Cru|Red|Gamay
France|Beaujolais|Saint-Amour|AOC Cru|Red|Gamay
France|Champagne|Champagne|AOC|Sparkling|Chardonnay; Pinot Noir; Meunier
France|Champagne|Champagne Blanc de Blancs|AOC|Sparkling|Chardonnay
France|Champagne|Champagne Blanc de Noirs|AOC|Sparkling|Pinot Noir; Meunier
France|Champagne|Champagne Rosé|AOC|Sparkling Rosé|Pinot Noir; Chardonnay
France|Champagne|Coteaux Champenois|AOC|Red|Pinot Noir
France|Champagne|Rosé des Riceys|AOC|Rosé|Pinot Noir
France|Loire (Pays Nantais)|Muscadet|AOC|White|Melon de Bourgogne
France|Loire (Pays Nantais)|Muscadet Sèvre et Maine|AOC|White|Melon de Bourgogne
France|Loire (Pays Nantais)|Muscadet Côtes de Grandlieu|AOC|White|Melon de Bourgogne
France|Loire (Pays Nantais)|Muscadet Coteaux de la Loire|AOC|White|Melon de Bourgogne
France|Loire (Pays Nantais)|Gros Plant du Pays Nantais|AOC|White|Folle Blanche
France|Loire (Pays Nantais)|Fiefs Vendéens|AOC|Red|Pinot Noir; Cabernet Franc
France|Loire (Anjou-Saumur)|Anjou|AOC|Red|Cabernet Franc
France|Loire (Anjou-Saumur)|Anjou Blanc|AOC|White|Chenin Blanc
France|Loire (Anjou-Saumur)|Anjou-Villages|AOC|Red|Cabernet Franc
France|Loire (Anjou-Saumur)|Anjou-Villages Brissac|AOC|Red|Cabernet Franc
France|Loire (Anjou-Saumur)|Rosé d'Anjou|AOC|Rosé|Grolleau; Gamay
France|Loire (Anjou-Saumur)|Cabernet d'Anjou|AOC|Rosé|Cabernet Franc; Cabernet Sauvignon
France|Loire (Anjou-Saumur)|Rosé de Loire|AOC|Rosé|Cabernet Franc; Grolleau
France|Loire (Anjou-Saumur)|Savennières|AOC|White|Chenin Blanc
France|Loire (Anjou-Saumur)|Savennières Roche aux Moines|AOC|White|Chenin Blanc
France|Loire (Anjou-Saumur)|Coulée de Serrant|AOC|White|Chenin Blanc
France|Loire (Anjou-Saumur)|Coteaux du Layon|AOC|Sweet White|Chenin Blanc
France|Loire (Anjou-Saumur)|Chaume|AOC Premier Cru|Sweet White|Chenin Blanc
France|Loire (Anjou-Saumur)|Quarts de Chaume|AOC Grand Cru|Sweet White|Chenin Blanc
France|Loire (Anjou-Saumur)|Bonnezeaux|AOC|Sweet White|Chenin Blanc
